frequency,raw
15144.26,-24.20
15232.26,-22.82
15320.77,-21.10
15409.80,-19.49
15499.34,-18.18
15589.40,-17.25
15679.99,-16.73
15771.10,-16.51
15862.74,-16.24
15954.92,-15.57
16047.63,-14.60
16140.88,-13.59
16234.67,-12.71
16329.01,-11.99
16423.89,-11.47
16519.33,-11.05
16615.32,-10.63
16711.87,-10.14
16808.98,-9.55
16906.65,-8.93
17004.89,-8.34
17103.70,-7.80
17203.09,-7.35
17303.05,-7.14
17403.60,-7.31
17504.73,-7.95
17606.44,-9.06
17708.75,-10.53
17811.65,-12.09
17915.15,-13.01
18019.25,-12.93
18123.96,-12.32
18229.27,-11.60
18335.20,-10.89
18441.74,-10.22
18548.90,-9.65
18656.69,-9.20
18765.10,-8.81
18874.14,-8.40
18983.81,-7.97
19094.12,-7.53
19205.07,-7.16
19316.67,-6.95
19428.91,-6.91
19541.81,-6.99
19655.37,-7.13
19769.58,-7.28
19884.46,-7.45
20000.00,-7.65
